address	name	calls	clues	lines
0x00402010	CUnit__Helper_00402010			12
0x004062d0	CSquadNormal__Helper_004062d0			41
0x004097a0	CUnit__Helper_004097a0			42
0x0040d1f0	OID__Helper_0040d1f0			41
0x0040d2c0	CSquadNormal__Helper_0040d2c0			42
0x00423910	CMeshPart__Helper_00423910	DXMemBuffer__ReadBytes	DXMemBuffer__ReadBytes	21
0x00423960	CMeshPart__Helper_00423960	DXMemBuffer__ReadBytes	DXMemBuffer__ReadBytes	18
0x00428b50	CUnit__Helper_00428b50	CGenericActiveReader__SetReader	CGenericActiveReader__SetReader	27
0x004416e0	CUnit__Helper_004416e0			30
0x0044a850	OID__Helper_0044a850			43
0x0044a930	OID__Helper_0044a930			40
0x0044c720	CSquadNormal__Helper_0044c720			22
0x0044c780	OID__Helper_0044c780	CStaticShadows__Helper_0047eb80		30
0x0044c810	CSquadNormal__Helper_0044c810			63
0x00465f00	CVBufTexture__Helper_00465f00			15
0x00476fe0	CVBufTexture__Helper_00476fe0	CCollisionSeekingRound__Helper_00491d80, CCollisionSeekingRound__Helper_00491d90, CDXEngine__BuildProjectedSprites, CFastVB__DispatchIndirect_00656f3c, CMapWhoEntry__GetOwner, CRenderQueue__InsertSortedByDepth, CSquadNormal__Helper_0040d2c0, CVBufTexture__Helper_00477b70, CVBufTexture__Helper_0057600b, Geometry__NoOpHook, Vec3__Add, Vec3__ScaleToOut	CFastVB__	446
0x00477b70	CVBufTexture__Helper_00477b70	CRenderQueue__InsertSortedByDepth		15
0x00477cb0	CSquadNormal__Helper_00477cb0	CSquadNormal__Helper_004e6680, CSquadNormal__Helper_004fb3d0, CSquadNormal__Helper_004fb780, CSquadNormal__Helper_004fb7e0, CSquadNormal__Helper_004fb840		158
0x0047ef20	CDXBattleLine__Helper_0047ef20			60
0x004881e0	CVBufTexture__Helper_004881e0			22
0x004885e0	CVBufTexture__Helper_004885e0			19
0x00494b00	CMeshPart__Helper_00494b00	CMCBuggy__Helper_0056e170		24
0x00494b50	CMeshPart__Helper_00494b50		FindAnimationIndex	18
0x004950f0	CMeshPart__Helper_004950f0	CMCBuggy__Helper_0056e170		26
0x004957d0	CMeshPart__Helper_004957d0	CMCBuggy__Helper_0056e170		31
0x00496250	CMeshPart__Helper_00496250	CMCBuggy__Helper_0056e170		14
0x00496270	CMeshPart__Helper_00496270		FindAnimationIndex	22
0x004968f0	CMeshPart__Helper_004968f0			14
0x00496910	CMeshPart__Helper_00496910			25
0x00496f60	CMeshPart__Helper_00496f60	CMCBuggy__Helper_0056e170		18
0x0049c250	CMeshPart__Helper_0049c250	CMCBuggy__Helper_0056e170		32
0x0049c2d0	CMeshPart__Helper_0049c2d0		FindAnimationIndex	18
0x0049f600	CMeshPart__Helper_0049f600	CMCBuggy__Helper_0056e170		28
0x0049f670	CMeshPart__Helper_0049f670	CMCBuggy__Helper_0056e170		42
0x004aa3f0	CMeshPart__Helper_004aa3f0			19
0x004cb0b0	CUnit__Helper_004cb0b0			23
0x004e43d0	CUnit__Helper_004e43d0			19
0x004e4420	CUnit__Helper_004e4420			11
0x004e4480	CSquadNormal__Helper_004e4480			18
0x004e6680	CSquadNormal__Helper_004e6680			38
0x004e97e0	CSquadNormal__Helper_004e97e0	CGenericActiveReader__SetReader, CSquadNormal__Helper_0040d2c0, Vec3__Add, Vec3__SetXYZ	CGenericActiveReader__SetReader	70
0x004f39b0	CUnit__Helper_004f39b0		DebugTrace	15
0x004f7460	CDXBattleLine__Helper_004f7460	CDXBattleLine__Helper_004f74b0		37
0x004f74b0	CDXBattleLine__Helper_004f74b0	CDXBattleLine__Helper_004f7660		72
0x004f7660	CDXBattleLine__Helper_004f7660	CDXBattleLine__Helper_004f78c0		94
0x004f78c0	CDXBattleLine__Helper_004f78c0			40
0x004f7940	CDXBattleLine__Helper_004f7940	CDXBattleLine__Helper_004f7660		42
0x004fb3d0	CSquadNormal__Helper_004fb3d0	CSquadNormal__Helper_004e4480, CSquadNormal__Helper_0050a0b0, CWorld__GetHeightSamplePacked16	CWorld__GetHeightSamplePacked16	77
0x004fb780	CSquadNormal__Helper_004fb780	CUnit__Helper_005096a0	CUnit__Helper_005096a0	29
0x004fb7e0	CSquadNormal__Helper_004fb7e0	CUnit__Helper_005099a0	CUnit__Helper_005099a0	29
0x004fb840	CSquadNormal__Helper_004fb840	CGenericActiveReader__SetReader, CSquadNormal__Helper_004e4480, CSquadNormal__Helper_0050a0b0, CStaticShadows__Helper_0047eb80, CUnit__Helper_004e43d0, CUnit__Helper_004e4420, CUnit__Helper_005096a0, CUnit__Helper_005099a0, CUnit__Helper_00509f70, CUnit__Helper_0050a0d0, CUnit__Helper_0050a290, HeightDelta__Below025_D0	CGenericActiveReader__SetReader;CUnit__Helper_005096a0;CUnit__Helper_005099a0	187
0x004fd570	CSquadNormal__Helper_004fd570			34
0x004fd760	CVBufTexture__Helper_004fd760	CUnit__Helper_0050a290		35
0x004fe500	CSquadNormal__Helper_004fe500	CGenericActiveReader__SetReader, CSPtrSet__Remove	CGenericActiveReader__SetReader	16
0x004ffdd0	CSquadNormal__Helper_004ffdd0	CGenericActiveReader__SetReader, CSquadNormal__Helper_004fb840	CGenericActiveReader__SetReader	16
0x005096a0	CUnit__Helper_005096a0	CEngine__CanUseBallisticArcNoLocks, OID__Helper_0044a850	CUnit__Helper_005096a0	106
0x005099a0	CUnit__Helper_005099a0	CEngine__CanUseBallisticArcNoLocks, OID__Helper_0044a850	CUnit__Helper_005099a0	109
0x00509f70	CUnit__Helper_00509f70			83
0x0050a0b0	CSquadNormal__Helper_0050a0b0			14
0x0050a0d0	CUnit__Helper_0050a0d0			11
0x0050a0e0	OID__Helper_0050a0e0	OID__Helper_0044a850, OID__Helper_0044a930		72
0x0050a290	CUnit__Helper_0050a290			15
0x0050b030	OID__Helper_0050b030	CCollisionSeekingRound__Helper_004f3d10, CMapWhoEntry__GetOwner, CMapWho__GetFirstEntryWithinLine, CMapWho__GetNextEntryWithinLine, CStaticShadows__Helper_00490a40, CWorld__Helper_004780f0, vector_constructor_iterator_nothrow		183
0x00511510	CUnit__Helper_00511510			43
0x0053b470	CDXBattleLine__Helper_0053b470	CDXEngine__ApplyPendingRenderState, CDXTexture__GetAnimatedFrame, CEngine__SetRenderStateCached, CVBuffer__SetStreamSource, CVBuffer__Unlock, D3DStateCache__SetStateCached, RenderState_Set	D3DStateCache	41
0x0055dcb0	OID__Helper_0055dcb0	CRT__Acos, CRT__ExtractFiniteExponentMaskOrPassThrough_00561618		20
0x0057600b	CVBufTexture__Helper_0057600b			16
