0x00406040 CDXCompass__GetTrackedPositionX
0x0040c630 CDXCompass__GetTrackedPositionY
0x004821b0 CDXCompass__ApplyRenderStateModulate
0x004821e0 CDXCompass__ApplyRenderStateAdditive
0x004f99f0 CDXCompass__GetSubtreeHealthOrFallbackValue
0x0048de90 CDXLandscape__ClearPendingHudMarkerHandle
0x0048dea0 CDXLandscape__ReleasePendingHudMarker
0x00512cc0 CDXLandscape__UnlinkNodeFromPrimaryAndSecondaryLists
0x00527d20 CDXLandscape__ValidateDeviceAndUpdateValidSoFar
0x0044a0c0 CDXMeshVB__GetGlobalZeroDouble
0x0056eb50 CDXMeshVB__SetTriangleStripDebugFlag
0x0056eb60 CDXMeshVB__SetEmitDegenerateFlag
0x0056eb70 CDXMeshVB__SetWordIndexModeFlag
0x0056eb80 CDXMeshVB__SetBatchSplitThreshold
0x0056eb90 CDXMeshVB__BuildStripBatchesAndEmitIndexBuffer
0x00480a30 CCollisionSeekingRound__ScanNeighborSectorsAndDispatchCollisions
0x00480e10 CCollisionSeekingRound__TraverseQuadNodeAndDispatchCollisions
0x00491d80 CCollisionSeekingRound__IterSetHeadFromMapWhoEntry
0x00491d90 CCollisionSeekingRound__IterPopNextEntry
0x004d8a70 CCollisionSeekingRound__ShutdownMonitorAndDestruct
0x004f3d10 CCollisionSeekingRound__GetCollisionComponentOrNull
0x00495ed0 CMCMech__ScaleMat34ByScalar
0x0049bd50 CMCMech__UpdateBoneHierarchyRecursive
0x004aa680 CMCMech__FindSlotByPartId
0x004aa820 CMCMech__FindSlotValueByNameAndOwner
0x004b0fb0 CMCMech__BuildInterpolatedPoseAndAnchor
0x0046b1e0 CFEPSaveGame__GetAsciiFallbackTextByToken
0x0046a2a0 CFEPSaveGame__GetLocalizedOrFallbackTextByToken
0x0044d390 CFEPSaveGame__InitDialogAndLayoutState
0x005d04ec CFEPSaveGame__WideStrCaseInsensitiveCompare
0x005d0a2a CFEPSaveGame__WideCharToLowerCompat
0x004f7c70 CD3DApplication__CopyToRotatingTempBuffer
0x005286e0 CD3DApplication__LoadCardIdAndApplyVendorTweaks
0x0052cd20 CD3DApplication__PerfTimerCommand
0x0055fc5d CD3DApplication__ReadLineFromStreamLocked
0x00562013 ControlsUI__ReadIntAndAdvance
0x005657d0 ControlsUI__WriteWideCharAndCount
0x005657f0 ControlsUI__WriteRepeatedWideChar
0x0055e624 ControlsUI__WideStrCat
0x0055e598 ControlsUI__FormatWideStringSafe
0x00565083 ControlsUI__FormatWideStringCore
0x00569cb8 ControlsUI__AbortInvalidParameter
0x004c78b0 CPDSimpleSprite__ScaleVec3InPlace
0x004c7db0 CPDSimpleSprite__InitNoiseTableOnce
0x004c5c50 CPDSimpleSprite__BuildUvAtlasBuckets
0x004c5d50 CPDSimpleSprite__ProcessAndRenderSpriteList
