address	name	owner
0x00403650	CMeshRenderer__Helper_00403650	CMeshRenderer
0x004048f0	CMesh__Helper_004048f0	CMesh
0x00406040	CDXCompass__Helper_00406040	CDXCompass
0x00409950	CMonitor__Helper_00409950	CMonitor
0x00409e60	CGeneralVolume__Helper_00409e60	CGeneralVolume
0x0040acc0	CBattleEngine__Helper_0040acc0	CBattleEngine
0x0040b6d0	CBattleEngine__Helper_0040b6d0	CBattleEngine
0x0040c5b0	CRepairPadAI__Helper_0040c5b0	CRepairPadAI
0x0040c5e0	CRepairPadAI__Helper_0040c5e0	CRepairPadAI
0x0040c630	CDXCompass__Helper_0040c630	CDXCompass
0x0040d320	CMCBuggy__Helper_0040d320	CMCBuggy
0x00416280	CBomberGuide__Helper_00416280	CBomberGuide
0x0041ad10	CMCTentacle__Helper_0041ad10	CMCTentacle
0x00423650	PCPlatform__Helper_00423650	PCPlatform
0x00423680	PCPlatform__Helper_00423680	PCPlatform
0x004239b0	CWorld__Helper_004239b0	CWorld
0x00424920	CGeneralVolume__Helper_00424920	CGeneralVolume
0x00424990	CGeneralVolume__Helper_00424990	CGeneralVolume
0x004309e0	CExplosionStatement__Helper_004309e0	CExplosionStatement
0x00430e60	CComponentStatement__Helper_00430e60	CComponentStatement
0x00431350	CFeatureStatement__Helper_00431350	CFeatureStatement
0x004317a0	CHazardStatement__Helper_004317a0	CHazardStatement
0x0043aea0	CExplosionBasedOn__Helper_0043aea0	CExplosionBasedOn
0x0043af10	CExplosionBasedOn__Helper_0043af10	CExplosionBasedOn
0x004404f0	CThing__Helper_004404f0	CThing
0x00440ad0	CWaterRenderSystem__Helper_00440ad0	CWaterRenderSystem
0x00441730	CLIParams__Helper_00441730	CLIParams
0x004419e0	FrontendUpdate_CheatChecks__Helper_004419e0	FrontendUpdate_CheatChecks
0x00441b10	CGame__Helper_00441b10	CGame
0x00441e20	CDXFrontEndVideo__Helper_00441e20	CDXFrontEndVideo
0x00441e30	CDXFrontEndVideo__Helper_00441e30	CDXFrontEndVideo
0x00441e40	CGame__Helper_00441e40	CGame
0x00441e50	CGame__Helper_00441e50	CGame
0x00442890	CDestroyableSegment__Helper_00442890	CDestroyableSegment
0x00444960	CDestroyableSegmentComponent__Helper_00444960	CDestroyableSegmentComponent
0x00445010	CMCBuggy__Helper_00445010	CMCBuggy
0x00445460	CDiveBomberGuide__Helper_00445460	CDiveBomberGuide
0x00449560	CMine__Helper_00449560	CMine
0x00449ef0	CFrontEnd__Helper_00449ef0	CFrontEnd
0x0044a0c0	CDXMeshVB__Helper_0044a0c0	CDXMeshVB
0x0044a110	CCutscene__Helper_0044a110	CCutscene
0x0044ae20	CPauseMenu__Helper_0044ae20	CPauseMenu
0x0044c440	CFearGrid__Helper_0044c440	CFearGrid
0x0044d390	CFEPSaveGame__Helper_0044d390	CFEPSaveGame
0x0044d560	CFrontEnd__Helper_0044d560	CFrontEnd
0x0044ed40	CFEPMultiplayerStart__Helper_0044ed40	CFEPMultiplayerStart
0x0044eea0	CFEPMultiplayerStart__Helper_0044eea0	CFEPMultiplayerStart
0x00452db0	CFEPGoodies__Helper_00452db0	CFEPGoodies
0x00452de0	CFEPGoodies__Helper_00452de0	CFEPGoodies
0x00464b30	CFEPLoadGame__Helper_00464b30	CFEPLoadGame
0x00465640	CLTShell__Helper_00465640	CLTShell
0x00465a20	CFEPLanguageTest__Helper_00465a20	CFEPLanguageTest
0x00465c10	CDXBitmapFont__Helper_00465c10	CDXBitmapFont
0x00465dd0	CFEPVirtualKeyboard__Helper_00465dd0	CFEPVirtualKeyboard
0x00465f00	CVBufTexture__Helper_00465f00	CVBufTexture
0x00469430	CFEPDirectory__Helper_00469430	CFEPDirectory
0x0046a2a0	CFEPSaveGame__Helper_0046a2a0	CFEPSaveGame
0x0046b1e0	CFEPSaveGame__Helper_0046b1e0	CFEPSaveGame
0x0046baf0	CFEPWingmen__Helper_0046baf0	CFEPWingmen
0x004780f0	CWorld__Helper_004780f0	CWorld
0x0047c970	CCannon__Helper_0047c970	CCannon
0x0047ce80	CCannon__Helper_0047ce80	CCannon
0x0047d6d0	CGroundVehicleGuide__Helper_0047d6d0	CGroundVehicleGuide
0x0047eb80	CStaticShadows__Helper_0047eb80	CStaticShadows
0x0047ec60	CMonitor__Helper_0047ec60	CMonitor
0x0047eff0	CLandscapeTexture__Helper_0047eff0	CLandscapeTexture
0x00480a30	CCollisionSeekingRound__Helper_00480a30	CCollisionSeekingRound
0x00480e10	CCollisionSeekingRound__Helper_00480e10	CCollisionSeekingRound
0x004821b0	CDXCompass__Helper_004821b0	CDXCompass
0x004821e0	CDXCompass__Helper_004821e0	CDXCompass
0x00488ea0	CCollisionSeekingInfantryBloke__Helper_00488ea0	CCollisionSeekingInfantryBloke
0x0048afb0	CInfluenceMap__Helper_0048afb0	CInfluenceMap
0x0048ddd0	CParticleSet__Helper_0048ddd0	CParticleSet
0x0048de00	CTokenArchive__Helper_0048de00	CTokenArchive
0x0048de90	CDXLandscape__Helper_0048de90	CDXLandscape
0x0048dea0	CDXLandscape__Helper_0048dea0	CDXLandscape
0x0048f1e0	CDXPatchManager__Helper_0048f1e0	CDXPatchManager
0x00490a40	CStaticShadows__Helper_00490a40	CStaticShadows
0x00491d80	CCollisionSeekingRound__Helper_00491d80	CCollisionSeekingRound
0x00491d90	CCollisionSeekingRound__Helper_00491d90	CCollisionSeekingRound
0x00495ed0	CMCMech__Helper_00495ed0	CMCMech
0x0049bd50	CMCMech__Helper_0049bd50	CMCMech
0x004a25c0	CLTShell__Helper_004a25c0	CLTShell
0x004aa4e0	CRTMesh__Helper_004aa4e0	CRTMesh
0x004aa500	CRTMesh__Helper_004aa500	CRTMesh
0x004aa680	CMCMech__Helper_004aa680	CMCMech
0x004aa6b0	CDestructableSegmentsController__Helper_004aa6b0	CDestructableSegmentsController
0x004aa820	CMCMech__Helper_004aa820	CMCMech
0x004aa8a0	CDestroyableSegment__Helper_004aa8a0	CDestroyableSegment
0x004adf80	CMesh__Helper_004adf80	CMesh
0x004b0cd0	CMesh__Helper_004b0cd0	CMesh
0x004b0fb0	CMCMech__Helper_004b0fb0	CMCMech
0x004b5e80	CSphere__Helper_004b5e80	CSphere
0x004b6260	CSphere__Helper_004b6260	CSphere
0x004b6cd0	COggLoader__Helper_004b6cd0	COggLoader
0x004b7ca0	IScript__Helper_004b7ca0	IScript
0x004b82a0	CMessageLog__Helper_004b82a0	CMessageLog
0x004bfe10	CRocket__Helper_004bfe10	CRocket
0x004bfe70	CWaypoint__Helper_004bfe70	CWaypoint
0x004bfed0	CSpawnerThing__Helper_004bfed0	CSpawnerThing
0x004bff40	CSphereTrigger__Helper_004bff40	CSphereTrigger
0x004bffa0	CWingmanStart__Helper_004bffa0	CWingmanStart
0x004c0000	CEscapePod__Helper_004c0000	CEscapePod
0x004c0370	CParticleDescriptor__Helper_004c0370	CParticleDescriptor
0x004c0450	CParticleDescriptor__Helper_004c0450	CParticleDescriptor
0x004c0510	CParticleManager__Helper_004c0510	CParticleManager
0x004c10c0	CPDSimpleSprite__Helper_004c10c0	CPDSimpleSprite
0x004c5c50	CPDSimpleSprite__Helper_004c5c50	CPDSimpleSprite
0x004c5d50	CPDSimpleSprite__Helper_004c5d50	CPDSimpleSprite
0x004c78b0	CPDSimpleSprite__Helper_004c78b0	CPDSimpleSprite
0x004c7db0	CPDSimpleSprite__Helper_004c7db0	CPDSimpleSprite
0x004cb040	CWorldPhysicsManager__Helper_004cb040	CWorldPhysicsManager
0x004cd7a0	CWorldPhysicsManager__Helper_004cd7a0	CWorldPhysicsManager
0x004cdba0	CParticleManager__Helper_004cdba0	CParticleManager
0x004d05c0	CMenuItemRange__Helper_004d05c0	CMenuItemRange
0x004d3b10	CPolyBucket__Helper_004d3b10	CPolyBucket
0x004d6e00	CRepairPadAI__Helper_004d6e00	CRepairPadAI
0x004d8a70	CCollisionSeekingRound__Helper_004d8a70	CCollisionSeekingRound
0x004dab50	CRound__Helper_004dab50	CRound
0x004dac90	CRound__Helper_004dac90	CRound
0x004daff0	CFearGrid__Helper_004daff0	CFearGrid
0x004e1200	CMessageBox__Helper_004e1200	CMessageBox
0x004e1260	CMonitor__Helper_004e1260	CMonitor
0x004e5850	CCareerNode__Helper_004e5850	CCareerNode
0x004e6640	CThing__Helper_004e6640	CThing
0x004f0ba0	CMCTentacle__Helper_004f0ba0	CMCTentacle
0x004f0c50	CMCTentacle__Helper_004f0c50	CMCTentacle
0x004f2790	CDXSurf__Helper_004f2790	CDXSurf
0x004f27e0	CHud__Helper_004f27e0	CHud
0x004f3c80	CAtmospheric__Helper_004f3c80	CAtmospheric
0x004f3d10	CCollisionSeekingRound__Helper_004f3d10	CCollisionSeekingRound
0x004f4530	CGillMHead__Helper_004f4530	CGillMHead
0x004f4560	CGillMHead__Helper_004f4560	CGillMHead
0x004f5b70	CParticleDescriptor__Helper_004f5b70	CParticleDescriptor
0x004f7440	CMissionScriptObjectCode__Helper_004f7440	CMissionScriptObjectCode
0x004f7c70	CD3DApplication__Helper_004f7c70	CD3DApplication
0x004f8140	CActor__Helper_004f8140	CActor
0x004f99f0	CDXCompass__Helper_004f99f0	CDXCompass
0x004f9a40	CSphere__Helper_004f9a40	CSphere
0x004f9a60	CDestroyableSegment__Helper_004f9a60	CDestroyableSegment
0x004fb650	CWarspite__Helper_004fb650	CWarspite
0x004fbc90	CWarspite__Helper_004fbc90	CWarspite
0x004fc3a0	CSpawnerThng__Helper_004fc3a0	CSpawnerThng
0x004fcc30	CThing__Helper_004fcc30	CThing
0x004fd4d0	CCannon__Helper_004fd4d0	CCannon
0x004fd8d0	CDestructableSegmentsController__Helper_004fd8d0	CDestructableSegmentsController
0x004fde70	CWarspite__Helper_004fde70	CWarspite
0x00501320	CScreenFx__Helper_00501320	CScreenFx
0x00505f90	CWeapon__Helper_00505f90	CWeapon
0x0050efa0	CBomber__Helper_0050efa0	CBomber
0x0050f440	CAirUnit__Helper_0050f440	CAirUnit
0x0050f680	CSpawnerThng__Helper_0050f680	CSpawnerThng
0x005113f0	CWeaponRound__Helper_005113f0	CWeaponRound
0x00511db0	CWorldPhysicsManager__Helper_00511db0	CWorldPhysicsManager
0x00512cc0	CDXLandscape__Helper_00512cc0	CDXLandscape
0x00521260	CFEPVirtualKeyboard__Helper_00521260	CFEPVirtualKeyboard
0x005214d0	CFEPVirtualKeyboard__Helper_005214d0	CFEPVirtualKeyboard
0x005234d0	PlatformInput__Helper_005234d0	PlatformInput
0x00527cc0	CWaterRenderSystem__Helper_00527cc0	CWaterRenderSystem
0x00527d20	CDXLandscape__Helper_00527d20	CDXLandscape
0x00527de0	CWaterRenderSystem__Helper_00527de0	CWaterRenderSystem
0x00527e00	CWaterRenderSystem__Helper_00527e00	CWaterRenderSystem
0x005286e0	CD3DApplication__Helper_005286e0	CD3DApplication
0x0052cd20	CD3DApplication__Helper_0052cd20	CD3DApplication
0x0053bd60	CHud__Helper_0053bd60	CHud
0x0053bda0	CHud__Helper_0053bda0	CHud
0x0053d3a0	CLTShell__Helper_0053d3a0	CLTShell
0x0053d760	CThing__Helper_0053d760	CThing
0x0053f010	CCutscene__Helper_0053f010	CCutscene
0x00540840	PCPlatform__Helper_00540840	PCPlatform
0x005491b0	CPolyBucket__Helper_005491b0	CPolyBucket
0x0055e14f	CLIParams__Helper_0055e14f	CLIParams
0x0055e1c4	CConsole__Helper_0055e1c4	CConsole
0x0055e3ea	CPDSimpleSprite__Helper_0055e3ea	CPDSimpleSprite
0x0055e598	ControlsUI__Helper_0055e598	ControlsUI
0x0055e624	ControlsUI__Helper_0055e624	ControlsUI
0x0055f2a7	CDropship__Helper_0055f2a7	CDropship
0x0055f380	CStaticShadows__Helper_0055f380	CStaticShadows
0x0055f39d	CStaticShadows__Helper_0055f39d	CStaticShadows
0x0055f44b	CTokenArchive__Helper_0055f44b	CTokenArchive
0x0055fc5d	CD3DApplication__Helper_0055fc5d	CD3DApplication
0x00562013	ControlsUI__Helper_00562013	ControlsUI
0x00565083	ControlsUI__Helper_00565083	ControlsUI
0x005657d0	ControlsUI__Helper_005657d0	ControlsUI
0x005657f0	ControlsUI__Helper_005657f0	ControlsUI
0x0056961e	CMCBuggy__Helper_0056961e	CMCBuggy
0x00569cb8	ControlsUI__Helper_00569cb8	ControlsUI
0x0056e170	CMCBuggy__Helper_0056e170	CMCBuggy
0x0056eb50	CDXMeshVB__Helper_0056eb50	CDXMeshVB
0x0056eb60	CDXMeshVB__Helper_0056eb60	CDXMeshVB
0x0056eb70	CDXMeshVB__Helper_0056eb70	CDXMeshVB
0x0056eb80	CDXMeshVB__Helper_0056eb80	CDXMeshVB
0x0056eb90	CDXMeshVB__Helper_0056eb90	CDXMeshVB
0x005766a5	CVertexShader__Helper_005766a5	CVertexShader
0x00576b47	CVertexShader__Helper_00576b47	CVertexShader
0x00576e0a	CVertexShader__Helper_00576e0a	CVertexShader
0x00579a9a	CVertexShader__Helper_00579a9a	CVertexShader
0x0057d0ee	CWaypointManager__Helper_0057d0ee	CWaypointManager
0x0057d32e	CWaypointManager__Helper_0057d32e	CWaypointManager
0x005d04ec	CFEPSaveGame__Helper_005d04ec	CFEPSaveGame
0x005d0a2a	CFEPSaveGame__Helper_005d0a2a	CFEPSaveGame
