address	old_name	new_name	confidence	reason	clues
0x00416280	CBomberGuide__Helper_00416280	CBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CMonitor__Shutdown
0x004309e0	CExplosionStatement__Helper_004309e0	CExplosionStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x00430e60	CComponentStatement__Helper_00430e60	CComponentStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__Init; CONCAT31; CUnitAI__InitDefaults; CSPtrSet__AddToTail
0x00431350	CFeatureStatement__Helper_00431350	CFeatureStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x004317a0	CHazardStatement__Helper_004317a0	CHazardStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject; CSPtrSet__AddToTail
0x0043aea0	CExplosionBasedOn__Helper_0043aea0	CExplosionBasedOn__ReallocateObjectSlot	high	pattern:Free+Alloc	OID__FreeObject; OID__AllocObject
0x0043af10	CExplosionBasedOn__Helper_0043af10	CExplosionBasedOn__ReallocateObjectSlot_0043af10	high	pattern:Free+Alloc	OID__FreeObject; OID__AllocObject
0x004419e0	FrontendUpdate_CheatChecks__Helper_004419e0	FrontendUpdate_CheatChecks__RenderCheatStatusText	high	pattern:AsciiToWide+DrawText	Text__AsciiToWideScratch; CPlatform__Font; CDXFont__DrawText
0x00445460	CDiveBomberGuide__Helper_00445460	CDiveBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CMonitor__Shutdown
0x00505f90	CWeapon__Helper_00505f90	CWeapon__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove; CDXLandscape__DestroyArrayWithCallback; CMonitor__Shutdown
0x00409950	CMonitor__Helper_00409950	CMonitor__HasAnySoundEventForReaderChain_00409950	mid	clue:CMonitor__HasAnySoundEventForReaderChain	CMonitor__HasAnySoundEventForReaderChain; CMonitor__PlayRandomSampleFromChain; CMonitor__FindSoundEventByOwnerAndName; CMonitor__StopSoundEventByOwnerAndName; CBattleEngine__IsWeaponModeCompatibleWithMountState; CGenericActiveReader__SetReader
0x0040acc0	CBattleEngine__Helper_0040acc0	CBattleEngine__CallSetReader	mid	clue:CGenericActiveReader__SetReader	CGenericActiveReader__SetReader; CSquadNormal__BuildOrientationMatrixFromEuler; CBattleEngine__ComputeProjectileMetricFromTargetProfile; CPlayer__GetCurrentViewPoint; CPlayer__GetCurrentViewOrientation; Vec3__SetXYZ
0x0040b6d0	CBattleEngine__Helper_0040b6d0	CBattleEngine__CallSetXYZ	mid	clue:Vec3__SetXYZ	Vec3__SetXYZ; SQRT__Wrapper_004026b0; OID__AcosWrapper; CUnit__ComputeMinBallisticTravelDistance; CUnit__ComputeMaxBallisticTravelDistance; CGenericActiveReader__SetReader
0x00423650	PCPlatform__Helper_00423650	PCPlatform__ReadPerformanceFrequency	mid	clue:QueryPerformanceFrequency	QueryPerformanceFrequency
0x00423680	PCPlatform__Helper_00423680	PCPlatform__Callftol	mid	clue:__ftol	__ftol; __aulldiv; QueryPerformanceCounter
0x00441e50	CGame__Helper_00441e50	CGame__FreeObjectIfPresent	mid	pattern:OID__FreeObject	OID__FreeObject
0x00444960	CDestroyableSegmentComponent__Helper_00444960	CDestroyableSegmentComponent__CallRemove	mid	clue:CSPtrSet__Remove	CSPtrSet__Remove; CDestroyableSegment__ctor_like_00442660
0x0044ae20	CPauseMenu__Helper_0044ae20	CPauseMenu__CallSetReader	mid	clue:CGenericActiveReader__SetReader	CGenericActiveReader__SetReader
0x0044c440	CFearGrid__Helper_0044c440	CFearGrid__CallAddEvent_AtTime	mid	clue:CEventManager__AddEvent_AtTime	ROUND; CEventManager__AddEvent_AtTime
0x0044ed40	CFEPMultiplayerStart__Helper_0044ed40	CFEPMultiplayerStart__CallFirst	mid	clue:CSPtrSet__First	CSPtrSet__First
0x0044eea0	CFEPMultiplayerStart__Helper_0044eea0	CFEPMultiplayerStart__CallFirst_0044eea0	mid	clue:CSPtrSet__First	CSPtrSet__First
0x00452db0	CFEPGoodies__Helper_00452db0	CFEPGoodies__OpenVideo	mid	clue:CDXFrontEndVideo__Open	CDXFrontEndVideo__Open
0x00452de0	CFEPGoodies__Helper_00452de0	CFEPGoodies__CloseVideo	mid	clue:CDXFrontEndVideo__CloseVideo	CDXFrontEndVideo__CloseVideo
0x00464b30	CFEPLoadGame__Helper_00464b30	CFEPLoadGame__ResolveTextByToken	mid	clue:CFEPSaveGame__GetLocalizedOrFallbackTextByToken	CFEPSaveGame__GetLocalizedOrFallbackTextByToken; CRT__WStrCpy; CPlatform__Font; CFEPSaveGame__InitDialogAndLayoutState
0x00465640	CLTShell__Helper_00465640	CLTShell__CallSetLoadingTransitionGate	mid	clue:CFrontEnd__SetLoadingTransitionGate	CFrontEnd__SetLoadingTransitionGate
0x00465a20	CFEPLanguageTest__Helper_00465a20	CFEPLanguageTest__CallAsciiToWideScratch	mid	clue:Text__AsciiToWideScratch	WcsLen; Text__AsciiToWideScratch; CRT__WStrCpy; CRT__WcsNcpyZeroPad; CDXFont__GetTextExtent
0x00469430	CFEPDirectory__Helper_00469430	CFEPDirectory__CheckMouseInputReady	mid	clue:CFrontEnd__IsMouseInputReady	CFrontEnd__IsMouseInputReady; Input__GetCursorStateInRectAndConsume
0x0047c970	CCannon__Helper_0047c970	CCannon__CallGetHeightSamplePacked16	mid	clue:CWorld__GetHeightSamplePacked16	ROUND; HeightDelta__Below025_D0; CONCAT44; CWorld__GetHeightSamplePacked16; CUnit__FinalizeLinkedUnitStateAndClear; CParticleManager__CreateEffect
0x0047ce80	CCannon__Helper_0047ce80	CCannon__CallMarkDestroyedAndCleanupLinks	mid	clue:CUnit__MarkDestroyedAndCleanupLinks	CUnit__MarkDestroyedAndCleanupLinks
0x0047d6d0	CGroundVehicleGuide__Helper_0047d6d0	CGroundVehicleGuide__FreeObjectIfPresent	mid	pattern:OID__FreeObject	OID__FreeObject; CMonitor__Shutdown
0x0047ec60	CMonitor__Helper_0047ec60	CMonitor__CallRoundDoubleWithFpuChecks	mid	clue:CRT__RoundDoubleWithFpuChecks	CRT__RoundDoubleWithFpuChecks; ROUND; SQRT
0x00488ea0	CCollisionSeekingInfantryBloke__Helper_00488ea0	CCollisionSeekingInfantryBloke__CallShutdown	mid	clue:CMonitor__Shutdown	CMonitor__Shutdown; CCollisionSeekingRound__Destructor
0x0048afb0	CInfluenceMap__Helper_0048afb0	CInfluenceMap__FreeObjectIfPresent	mid	pattern:OID__FreeObject	CSPtrSet__Remove; OID__FreeObject
0x0048ddd0	CParticleSet__Helper_0048ddd0	CParticleSet__OpenRead	mid	clue:DXMemBuffer__OpenRead	DXMemBuffer__OpenRead
0x0048de00	CTokenArchive__Helper_0048de00	CTokenArchive__ReadLine	mid	clue:DXMemBuffer__ReadLine	DXMemBuffer__ReadLine
0x0048f1e0	CDXPatchManager__Helper_0048f1e0	CDXPatchManager__Create	mid	clue:CVBuffer__Create	CVBuffer__Create
0x00490a40	CStaticShadows__Helper_00490a40	CStaticShadows__CallRoundDoubleWithFpuChecks	mid	clue:CRT__RoundDoubleWithFpuChecks	SQRT; CRT__RoundDoubleWithFpuChecks; ROUND; CHeightField__SampleInterpolatedHeight; Vec3__SetXYZ; CConsole__Printf
0x004b5e80	CSphere__Helper_004b5e80	CSphere__CallSetXYZ	mid	clue:Vec3__SetXYZ	Vec3__SetXYZ; Mat34__SetRows; CSquadNormal__TransformVec3ByOrientationMatrix; Vec3__Add; CMCBuggy__Helper_0040d320; CMeshRenderer__RenderMesh
0x004b6260	CSphere__Helper_004b6260	CSphere__RenderAnimatedRecursive	mid	clue:CMeshPart__RenderAnimatedRecursive	CMeshPart__RenderAnimatedRecursive; CMeshPart__RefreshCachedPoseIfStale; CONCAT31
0x004b7ca0	IScript__Helper_004b7ca0	IScript__CallInit	mid	clue:CSPtrSet__Init	CSPtrSet__Init; CSPtrSet__AddToTail; CSPtrSet__operator_assign; CDropship__TryAdvanceQueuedPortrait; CSPtrSet__Clear
0x004bfe10	CRocket__Helper_004bfe10	CRocket__DestroyArrayWithCallback	mid	clue:CDXLandscape__DestroyArrayWithCallback	CDXLandscape__DestroyArrayWithCallback; CActor__ctor_like_004013d0
0x004bfe70	CWaypoint__Helper_004bfe70	CWaypoint__CallRemove	mid	clue:CSPtrSet__Remove	CSPtrSet__Remove; CThing__ctor_like_004f3640
