address	old_name	new_name	confidence	reason	clues
0x00416280	CBomberGuide__Helper_00416280	CBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove, CMonitor__Shutdown
0x00423650	PCPlatform__Helper_00423650	PCPlatform__ReadPerformanceFrequency	high	pattern:QueryPerformanceFrequency	QueryPerformanceFrequency
0x00423680	PCPlatform__Helper_00423680	PCPlatform__ComputeSecondsFromPerfCounter	high	pattern:QueryPerformanceCounter	__ftol, __aulldiv, QueryPerformanceCounter
0x004309e0	CExplosionStatement__Helper_004309e0	CExplosionStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject, CSPtrSet__AddToTail
0x00430e60	CComponentStatement__Helper_00430e60	CComponentStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject, CSPtrSet__Init, CONCAT31, CUnitAI__InitDefaults, CSPtrSet__AddToTail
0x00431350	CFeatureStatement__Helper_00431350	CFeatureStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject, CSPtrSet__AddToTail
0x004317a0	CHazardStatement__Helper_004317a0	CHazardStatement__AllocObjectAndAddToSet	high	pattern:Alloc+AddToTail	OID__AllocObject, CSPtrSet__AddToTail
0x0043aea0	CExplosionBasedOn__Helper_0043aea0	CExplosionBasedOn__ReallocateObjectSlot	high	pattern:Free+Alloc	OID__FreeObject, OID__AllocObject
0x0043af10	CExplosionBasedOn__Helper_0043af10	CExplosionBasedOn__ReallocateObjectSlot_0043af10	high	pattern:Free+Alloc	OID__FreeObject, OID__AllocObject
0x004419e0	FrontendUpdate_CheatChecks__Helper_004419e0	FrontendUpdate_CheatChecks__RenderCheatStatusText	high	pattern:AsciiToWide+DrawText	Text__AsciiToWideScratch, CPlatform__Font, CDXFont__DrawText
0x00445460	CDiveBomberGuide__Helper_00445460	CDiveBomberGuide__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove, CMonitor__Shutdown
0x00505f90	CWeapon__Helper_00505f90	CWeapon__DetachFromSetAndShutdownMonitor	high	pattern:CSPtrSet+Monitor	CSPtrSet__Remove, CDXLandscape__DestroyArrayWithCallback, CMonitor__Shutdown
0x00409950	CMonitor__Helper_00409950	CMonitor__InvokeHasAnySoundEventForReaderChain	mid	clue:CMonitor__HasAnySoundEventForReaderChain	CMonitor__HasAnySoundEventForReaderChain, CMonitor__PlayRandomSampleFromChain, CMonitor__FindSoundEventByOwnerAndName, CMonitor__StopSoundEventByOwnerAndName, CBattleEngine__IsWeap
0x0040acc0	CBattleEngine__Helper_0040acc0	CBattleEngine__InvokeCallBuildOrientationMatrixFromEuler	mid	clue:CSquadNormal__BuildOrientationMatrixFromEuler	CGenericActiveReader__SetReader, CSquadNormal__BuildOrientationMatrixFromEuler, CBattleEngine__ComputeProjectileMetricFromTargetProfile, CPlayer__GetCurrentViewPoint, CPlayer__GetC
0x0040b6d0	CBattleEngine__Helper_0040b6d0	CBattleEngine__InvokeCallComputeMinBallisticTravelDistance	mid	clue:CUnit__ComputeMinBallisticTravelDistance	Vec3__SetXYZ, SQRT__Wrapper_004026b0, OID__AcosWrapper, CUnit__ComputeMinBallisticTravelDistance, CUnit__ComputeMaxBallisticTravelDistance, CGenericActiveReader__SetReader, CMapWho
0x0044a110	CCutscene__Helper_0044a110	CCutscene__InvokeCallResetWrapper	mid	clue:CDXLandscape__ResetWrapper	CDXLandscape__ResetWrapper
0x00452db0	CFEPGoodies__Helper_00452db0	CFEPGoodies__InvokeCallOpen	mid	clue:CDXFrontEndVideo__Open	CDXFrontEndVideo__Open
0x00452de0	CFEPGoodies__Helper_00452de0	CFEPGoodies__InvokeCallCloseVideo	mid	clue:CDXFrontEndVideo__CloseVideo	CDXFrontEndVideo__CloseVideo
0x00464b30	CFEPLoadGame__Helper_00464b30	CFEPLoadGame__InvokeCallGetLocalizedOrFallbackTextByToken	mid	clue:CFEPSaveGame__GetLocalizedOrFallbackTextByToken	CFEPSaveGame__GetLocalizedOrFallbackTextByToken, CRT__WStrCpy, CPlatform__Font, CFEPSaveGame__InitDialogAndLayoutState
0x00465640	CLTShell__Helper_00465640	CLTShell__InvokeCallSetLoadingTransitionGate	mid	clue:CFrontEnd__SetLoadingTransitionGate	CFrontEnd__SetLoadingTransitionGate
0x00469430	CFEPDirectory__Helper_00469430	CFEPDirectory__InvokeCallIsMouseInputReady	mid	clue:CFrontEnd__IsMouseInputReady	CFrontEnd__IsMouseInputReady, Input__GetCursorStateInRectAndConsume
0x0047c970	CCannon__Helper_0047c970	CCannon__InvokeCallBelow025_D0	mid	clue:HeightDelta__Below025_D0	ROUND, HeightDelta__Below025_D0, CONCAT44, CWorld__GetHeightSamplePacked16, CUnit__FinalizeLinkedUnitStateAndClear, CParticleManager__CreateEffect, CMeshRenderer__Helper_00403650,
0x0047ce80	CCannon__Helper_0047ce80	CCannon__InvokeCallMarkDestroyedAndCleanupLinks	mid	clue:CUnit__MarkDestroyedAndCleanupLinks	CUnit__MarkDestroyedAndCleanupLinks
0x00488ea0	CCollisionSeekingInfantryBloke__Helper_00488ea0	CCollisionSeekingInfantryBloke__InvokeCallShutdown	mid	clue:CMonitor__Shutdown	CMonitor__Shutdown, CCollisionSeekingRound__Destructor
0x0048ddd0	CParticleSet__Helper_0048ddd0	CParticleSet__InvokeCallOpenRead	mid	clue:DXMemBuffer__OpenRead	DXMemBuffer__OpenRead
0x0048de00	CTokenArchive__Helper_0048de00	CTokenArchive__InvokeCallReadLine	mid	clue:DXMemBuffer__ReadLine	DXMemBuffer__ReadLine
