0x00423680 PCPlatform__InitTimerFromPerfCounter
0x00424920 CGeneralVolume__BeginFlyToWalkTransition
0x00424990 CGeneralVolume__BeginWalkToFlyTransition
0x00465a20 CFEPLanguageTest__WrapWideTextToFixedLines
0x0047ce80 CCannon__MarkDestroyedAndResetState
0x00488ea0 CCollisionSeekingInfantryBloke__ShutdownAndDestroy
0x00490a40 CStaticShadows__TraceSegmentAgainstHeightfield
0x004b7ca0 IScript__InsertSortedAndTryAdvancePortrait
0x004e5850 CCareerNode__ClonePtrSetFromSource
0x004f9a60 CDestroyableSegment__RemoveLinkedSegmentAndRelease
0x0053bd60 CHud__ResetCompassAndHudCounters
0x0053d760 CThing__RenderDebugVolumeOverlay
0x0056e170 CMCBuggy__StrnICmpWithLocaleLock
0x00579a9a CVertexShader__CompileScriptWithDirectiveParser
0x00465640 CLTShell__InvokeWithLoadingTransitionGate
