0x0044a110 CCutscene__ResetLandscape
0x0044ae20 CPauseMenu__InitAndSetActiveReader
0x00444960 CDestroyableSegmentComponent__RemoveOwnerLinkAndResetBase
0x004bfe70 CWaypoint__RemoveOwnerLinkAndResetBaseThing
0x004bfed0 CSpawnerThing__RemoveOwnerLinkAndResetComplexThing
0x004bff40 CSphereTrigger__ClearTrackedSetRemoveGlobalAndResetBase
0x004bffa0 CWingmanStart__RemoveOwnerLinkAndResetComplexThing
0x004c0000 CEscapePod__RemoveGlobalAndResetActorBase
0x004fcc30 CThing__CreateHitRefEvaluateImpulseAndDispatchHit
0x00527cc0 CWaterRenderSystem__ValidateVBufferAndMarkReady
0x00527e00 CWaterRenderSystem__CheckVBufValidAndHandleFailure
0x00562c99 CRT__ReturnVoid
0x0056c05c CRT__ReturnZero
0x0057d0ee CWaypointManager__BoxBlurPackedColorRows_Scalar
0x0057d32e CWaypointManager__BoxBlurPackedColorRows_SIMD
0x005766a5 CVertexShader__DispatchTableCall_656f38
0x00576b47 CVertexShader__DispatchTableCall_656fc4
0x00576e0a CVertexShader__DispatchTableCall_656f78
0x004b82a0 CMessageLog__GetEntryField3CByIndex
0x004f4530 CGillMHead__FindAnimationIndexOrZero
0x004f4560 CGillMHead__PlayAnimationByNameIfPresent
0x004fbc90 CWarspite__GetMountedUnitPitchOrZero
0x004fd8d0 CDestructableSegmentsController__FindMemberByField270
0x005113f0 CWeaponRound__SetReaderFromGlobalListByIndex
