0x004239b0 CWorld__GetSubstateField_12C
0x00441730 CLIParams__SetField04
0x00441e20 CDXFrontEndVideo__ClearByteFlag
0x00441e40 CGame__ClearDwordValue
0x004adf80 CMesh__ClearField08
0x004f27e0 CHud__DecrementCounter9C
0x004f5b70 CParticleDescriptor__SetIndexedParam
0x005234d0 PlatformInput__SetGlobalInputState
0x004cb040 CWorldPhysicsManager__PushNodeGlobalList
0x004fc3a0 CSpawnerThng__SetCooldownState3
0x00527de0 CWaterRenderSystem__ResetAndMarkSourceFlag
0x004048f0 CMesh__IsValidProfileIndex_1to10
0x0041ad10 CMCTentacle__AddVec3InPlace
0x004d05c0 CMenuItemRange__IsBindingActive
0x0053f010 CCutscene__SetTrackSlotByFlag
0x00465dd0 CFEPVirtualKeyboard__IsInputAccepted
0x004aa4e0 CRTMesh__SumSubtreeField1C
0x004404f0 CThing__NegateVec3ToOut
0x004f3c80 CAtmospheric__GetSamplerValueOrDefault
0x004b0cd0 CMesh__SelectModeSpecificPtr
0x00403650 CMeshRenderer__CopyBasisAndRefreshTime
0x00409e60 CGeneralVolume__ToDoubleIdentity
0x0040c5b0 CRepairPadAI__IsWithinRepairBounds
0x0040c5e0 CRepairPadAI__HasAnySlotBelowThreshold
0x00441e30 CDXFrontEndVideo__SetByteFlagAndReturnOld
0x00445010 CMCBuggy__GetTargetValueOrFallback
0x00449560 CMine__AssignVec3AndReturnThis
0x00465f00 CVBufTexture__GetGlobalEnableByte
0x004780f0 CWorld__InvokeVtable14WithTempBuffers
0x0047eb80 CStaticShadows__SampleShadowHeightBilinear
0x004aa6b0 CDestructableSegmentsController__FindMeshNameByIdOrUnknown
0x004aa8a0 CDestroyableSegment__FindChildByNameI
0x004c0450 CParticleDescriptor__Load12DwordsAndMarkDirty
0x004c0510 CParticleManager__LinkNodeFront
0x004cd7a0 CWorldPhysicsManager__FindNodeByNameGE
0x004cdba0 CParticleManager__LinkNodeByOffset3C40
0x004f2790 CDXSurf__UnlinkNodeFromGlobalList
0x0050f680 CSpawnerThng__IsSpawnTypeAllowed
0x005214d0 CFEPVirtualKeyboard__IsSpecialKeyBlocked
0x0055f2a7 CDropship__FindSubstringW
0x0055f44b CTokenArchive__BinarySearchByPredicate
