address	old_name	inferred_owner	xref_count	top_counts
0x00533500	IScript__Unk_00533500		0
0x005335a0	IScript__Unk_005335a0		0
0x00533660	IScript__Unk_00533660		2	CUnit:1;CThing:1
0x005337e0	IScript__Unk_005337e0		2	CGeneralVolume:1;CUnit:1
0x00533840	IScript__Unk_00533840		1	CUnit:1
0x005343e0	IScript__Unk_005343e0		1	CEngine:1
0x00534410	IScript__Unk_00534410		1	CEngine:1
0x00534440	IScript__Unk_00534440		1	CEngine:1
0x00534470	IScript__Unk_00534470		1	CEngine:1
0x00534fb0	IScript__Unk_00534fb0		1	CEngine:1
0x00534fe0	IScript__Unk_00534fe0		1	CEngine:1
0x00535010	IScript__Unk_00535010		1	CEngine:1
0x00535040	IScript__Unk_00535040		1	CEngine:1
0x00535350	IScript__Unk_00535350		1	CVM:1
0x00535530	IScript__Unk_00535530		1	CEngine:1
0x00535560	IScript__Unk_00535560		1	CEngine:1
0x00535fa0	IScript__Unk_00535fa0		1	CEngine:1
0x00536ca0	IScript__Unk_00536ca0		1	CEngine:1
