address	name	signature
0x00533500	IScript__Unk_00533500	void __fastcall IScript__Unk_00533500(int param_1)
0x005335a0	IScript__Unk_005335a0	void __fastcall IScript__Unk_005335a0(int param_1)
0x00533660	IScript__Unk_00533660	void __fastcall IScript__Unk_00533660(int param_1)
0x005337e0	IScript__Unk_005337e0	void __fastcall IScript__Unk_005337e0(int param_1)
0x00533840	IScript__Unk_00533840	void __fastcall IScript__Unk_00533840(int param_1)
0x005343e0	IScript__Unk_005343e0	void __stdcall IScript__Unk_005343e0(void * param_1)
0x00534410	IScript__Unk_00534410	void __stdcall IScript__Unk_00534410(void * param_1)
0x00534440	IScript__Unk_00534440	void __stdcall IScript__Unk_00534440(void * param_1)
0x00534470	IScript__Unk_00534470	void __stdcall IScript__Unk_00534470(void * param_1)
0x00534fb0	IScript__Unk_00534fb0	void __thiscall IScript__Unk_00534fb0(void * this, int param_1, void * param_2)
0x00534fe0	IScript__Unk_00534fe0	void __thiscall IScript__Unk_00534fe0(void * this, int param_1, void * param_2)
0x00535010	IScript__Unk_00535010	void __thiscall IScript__Unk_00535010(void * this, int param_1, void * param_2)
0x00535040	IScript__Unk_00535040	void __thiscall IScript__Unk_00535040(void * this, int param_1, void * param_2)
0x00535350	IScript__Unk_00535350	void __fastcall IScript__Unk_00535350(void * param_1)
0x00535530	IScript__Unk_00535530	void __thiscall IScript__Unk_00535530(void * this, int param_1, void * param_2)
0x00535560	IScript__Unk_00535560	void __thiscall IScript__Unk_00535560(void * this, int param_1, void * param_2)
0x00535fa0	IScript__Unk_00535fa0	void __thiscall IScript__Unk_00535fa0(void * this, int param_1, void * param_2)
0x00536ca0	IScript__Unk_00536ca0	void __thiscall IScript__Unk_00536ca0(void * this, int param_1, void * param_2)
