name	files	size_kb	total_refs	state_refs	backlog_refs	risk	classification	broken_reference_risk	rationale
_retired	1	0	0	0	0	low	keep_infra	low	Operational scratch infra/history container; keep in place.
archive	19	1772	0	0	0	low	keep_infra	low	Operational scratch infra/history container; keep in place.
auto-tail-2026-02-25	14	68	1	1	0	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cbattleengine_owner_correction_2026-02-26	14	724	2	1	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cconsole-unk-caller-decompile-2026-02-25	21	80	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cconsole-unk-decompile-2026-02-25	11	40	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cconsole_trio_deeppass_2026-02-25	25	324	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cconsole_unk_deeppass_2026-02-25	6	16	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cdestroyablesegment_owner_correction_2026-02-26	15	840	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cdxengine_owner_correction_2026-02-26	42	2204	3	0	3	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cdxtexture_owner_correction_2026-02-25	105	6556	17	5	12	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
cdxtexture_owner_correction_2026-02-26	56	3304	5	1	4	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cegine-unk-decompile-2026-02-25	113	500	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cengine_owner_correction_2026-02-25	30	1696	6	2	4	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cengine_owner_correction_2026-02-26	28	1484	4	2	2	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cexplosion_owner_correction_2026-02-25	84	828	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cexplosioninitthing_owner_correction_2026-02-26	15	844	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cfastvb_owner_correction_2026-02-25	90	5252	15	5	10	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
cfastvb_owner_correction_2026-02-26	55	3128	5	1	4	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cfrontend-unk-decompile-2026-02-25	22	80	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cgame-unk-decompile-2026-02-25	15	48	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cgeneralvolume_owner_correction_2026-02-25	51	676	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cgeneralvolume_owner_correction_2026-02-26	44	2216	4	1	3	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmcbuggy_owner_correction_2026-02-26	15	836	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmesh_owner_correction_2026-02-26	14	728	2	1	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmeshcollisionvolume_owner_correction_2026-02-26	15	872	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmeshpart_owner_correction_2026-02-26	30	1688	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmonitor-unk-decompile-2026-02-25	40	172	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
cmonitor_owner_correction_2026-02-25	34	336	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cmonitor_owner_correction_2026-02-26	28	1420	4	2	2	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
coverage_refresh_2026-02-25_controllerdef_menuitem	4	772	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
coverage_refresh_2026-02-25_menuitem_vfunc_semantic	2	764	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
coverage_refresh_2026-02-25_menuitem_wave2	4	780	0	0	0	low	archive_now	low	No external refs detected; safe to archive.
csoundmanager_owner_correction_2026-02-26	29	1712	2	0	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
csquadnormal_owner_correction_2026-02-26	15	840	1	0	1	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
ctexture_owner_correction_2026-02-25	90	5548	14	4	10	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
ctexture_owner_correction_2026-02-26	56	3276	5	1	4	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cthing_owner_correction_2026-02-26	29	1584	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cunit_owner_correction_2026-02-25	162	3784	11	4	7	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
cunitai_owner_correction_2026-02-25	305	5272	7	2	5	medium	archive_after_rewrite	high	Referenced in state/backlog docs; archive only after rewriting path anchors.
cunitai_owner_correction_2026-02-26	42	2352	4	1	3	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cvbuftexture_owner_correction_2026-02-26	29	1504	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cworld_owner_correction_2026-02-26	30	1692	2	0	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
cworldphysicsmanager_owner_correction_2026-02-26	28	1468	3	1	2	medium	archive_after_rewrite	medium	Referenced in state/backlog docs; archive only after rewriting path anchors.
deep_semantic_tail_2026-02-26	4317	89532	141	23	118	high	keep_now	high	Heavily referenced by state/backlog docs; moving now likely breaks active traces.
