address	name	signature	status
0x0040acc0	CBattleEngine__SelectBestAimTargetAndMaybeQueueEvent	int __thiscall CBattleEngine__SelectBestAimTargetAndMaybeQueueEvent(void * this, void * event_payload, void * query_context, int reset_readers, int trace_mode)	OK
0x0047eff0	CLandscapeTexture__BlitTileRegionWithLightingMask	int __thiscall CLandscapeTexture__BlitTileRegionWithLightingMask(void * this, byte lod_shift, int * tile_ctx, int src_base, int dst_stride, uint tile_flags, int min_x, int min_y, int max_x, int max_y)	OK
0x004c10c0	CPDSimpleSprite__EvaluateExpressionRecursive	double __thiscall CPDSimpleSprite__EvaluateExpressionRecursive(void * this, void * x_value, float time_scale, int eval_flags)	OK
0x0044c440	CFearGrid__RebuildOccupancyAndScheduleTick	void __thiscall CFearGrid__RebuildOccupancyAndScheduleTick(void * this)	OK
0x004780f0	CWorld__InvokeVtable14WithTempBuffers	int __thiscall CWorld__InvokeVtable14WithTempBuffers(void * this)	OK
0x00440ad0	CWaterRenderSystem__BuildGridIndexBuffer	void __stdcall CWaterRenderSystem__BuildGridIndexBuffer(void * out_indices, int grid_width, int grid_height, int flip_winding)	OK
0x0055f44b	CTokenArchive__BinarySearchByPredicate	uint __cdecl CTokenArchive__BinarySearchByPredicate(int search_key, uint base_offset, uint item_count, int item_stride, void * predicate)	OK
0x004d6e00	CRepairPadAI__IsCompatibleDockCandidate	int __thiscall CRepairPadAI__IsCompatibleDockCandidate(void * this, void * candidate_unit, int unused_ctx)	OK
0x0044d560	CFrontEnd__UpdateFadeStateMachineAlpha	void __thiscall CFrontEnd__UpdateFadeStateMachineAlpha(void * this)	OK
0x004f0ba0	CMCTentacle__ComputeWorldAnchor	void __thiscall CMCTentacle__ComputeWorldAnchor(void * this, void * out_anchor, void * unused_ctx)	OK
