candidateId	retailEntry	provider	sourceEquivalentName	proposedProjectLabel	equivalenceBasis	terminalClass	originalBeaLinkerSymbol	runtimeContract	promotionState
CF-001	0x00563C80	MICROSOFT_CRT	_fdiv_main_routine	MSVCRT__fdiv_main_routine	NORMALIZED_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-002	0x00563D97	MICROSOFT_CRT	_adj_fdiv_r	MSVCRT__adj_fdiv_r	NORMALIZED_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-003	0x00564236	MICROSOFT_CRT	_fdivp_sti_st	MSVCRT__fdivp_sti_st	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-004	0x00564249	MICROSOFT_CRT	_fdivrp_sti_st	MSVCRT__fdivrp_sti_st	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-005	0x0056425C	MICROSOFT_CRT	_adj_fdiv_m32	MSVCRT__adj_fdiv_m32	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-006	0x005642A8	MICROSOFT_CRT	_adj_fdiv_m64	MSVCRT__adj_fdiv_m64	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-007	0x005642F4	MICROSOFT_CRT	_adj_fdiv_m16i	MSVCRT__adj_fdiv_m16i	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-008	0x00564328	MICROSOFT_CRT	_adj_fdiv_m32i	MSVCRT__adj_fdiv_m32i	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-009	0x0056435C	MICROSOFT_CRT	_adj_fdivr_m32	MSVCRT__adj_fdivr_m32	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-010	0x005643A8	MICROSOFT_CRT	_adj_fdivr_m64	MSVCRT__adj_fdivr_m64	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-011	0x005643F4	MICROSOFT_CRT	_adj_fdivr_m16i	MSVCRT__adj_fdivr_m16i	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-012	0x00564428	MICROSOFT_CRT	_adj_fdivr_m32i	MSVCRT__adj_fdivr_m32i	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-013	0x0056445C	MICROSOFT_CRT	_safe_fdiv	MSVCRT__safe_fdiv	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-014	0x00564471	MICROSOFT_CRT	_safe_fdivr	MSVCRT__safe_fdivr	RAW_EXACT_BODY_AND_ALIGNED_SYMBOL_REFERENCE	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-015	0x005B87C0	AMD_3DNOW_SDK	a_asin	AMD3DNow__a_asin	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-016	0x005B88C0	AMD_3DNOW_SDK	a_log	AMD3DNow__a_log	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
CF-017	0x005B89C0	AMD_3DNOW_SDK	a_log10	AMD3DNow__a_log10	PINNED_SOURCE_ORDER_INSTRUCTIONS_AND_CONSTANTS	NAMED_LIBRARY_FUNCTION_BOUNDED_PROVENANCE	NOT_CLAIMED	NOT_CLAIMED	CLASSIFIED_PENDING_STRUCTURAL_ADMISSION
