rowId	scope	sourcePath	sourceSha256	sourceBytes	containerPath	containerSha256	containerBytes	indexIdentity	memberPath	memberOffset	memberBytes	memberSha256	fact	evidenceGrade	unresolved
PS2-EUROPE-ISO	PS2 europe retail inner ISO	G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso	060d883b3b029c2be471d83f824b1fdf38520903f8ace47783d13e9dd399da52	3615948800	/	060d883b3b029c2be471d83f824b1fdf38520903f8ace47783d13e9dd399da52	3615948800	ISO9660:SLES50777	DATA0.NYO@LBA2361:1691951868 | DATA1.NYO@LBA828510:1729442900 | DATA2.NYO@LBA1672965:189708988	NOT_APPLICABLE	NOT_APPLICABLE	SEE_PACKAGE_ROWS	Three RCDF packages present; region changes ISO identity, executable, and package LBA/order	EXACT_STREAMED_SOURCE	Outer ZIP SHA-256 not measured; CHD-to-ISO equivalence outside scope
PS2-USA-ISO	PS2 usa retail inner ISO	G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (USA).iso	3e1fffa905680acbc57bbf9388aa77bfe60c653afe6f48823247ade88bb87ce6	3615948800	/	3e1fffa905680acbc57bbf9388aa77bfe60c653afe6f48823247ade88bb87ce6	3615948800	ISO9660:SLUS_20495	DATA0.NYO@LBA846818:1691951868 | DATA1.NYO@LBA2363:1729442900 | DATA2.NYO@LBA1672967:189708988	NOT_APPLICABLE	NOT_APPLICABLE	SEE_PACKAGE_ROWS	Three RCDF packages present; region changes ISO identity, executable, and package LBA/order	EXACT_STREAMED_SOURCE	Outer ZIP SHA-256 not measured; CHD-to-ISO equivalence outside scope
PS2-DATA0	PS2 Europe and USA exact package identity	EU=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso | US=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (USA).iso	EU=060d883b3b029c2be471d83f824b1fdf38520903f8ace47783d13e9dd399da52 | US=3e1fffa905680acbc57bbf9388aa77bfe60c653afe6f48823247ade88bb87ce6	EU=3615948800 | US=3615948800	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF:v100:offset=1691850752:bytes=101116:rows=383:sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	INDEX_ONLY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	383 index rows; canonical language tables and 302 AYA resources	EXACT_PACKAGE_AND_INDEX	Payload formats outside canonical language DAT extraction remain unopened
PS2-DATA1	PS2 Europe and USA exact package identity	EU=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso | US=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (USA).iso	EU=060d883b3b029c2be471d83f824b1fdf38520903f8ace47783d13e9dd399da52 | US=3e1fffa905680acbc57bbf9388aa77bfe60c653afe6f48823247ade88bb87ce6	EU=3615948800 | US=3615948800	DATA1.NYO	cbc11eee14279a67d7b81a982c20ec640c0b42404d323b881f45884774d5bb4c	1729442900	RCDF:v100:offset=1729423360:bytes=19540:rows=74:sha256=cad822f96dac4e70d8bd5ddbd3c2a2fb297631e779352ae2cb6bc08dc497ee88	INDEX_ONLY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	74 index rows; M2V/PSS/video-bin shelf; no targeted lore metadata paths	EXACT_PACKAGE_AND_INDEX	Payload formats outside canonical language DAT extraction remain unopened
PS2-DATA2	PS2 Europe and USA exact package identity	EU=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (Europe) (EnFrDeEsIt) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (Europe) (En,Fr,De,Es,It).iso | US=G:\BEA ROMS\Manually Downloaded\Battle Engine Aquila (USA) - romsfun.com - PS2 - Redump.zip::Battle Engine Aquila (USA).iso	EU=060d883b3b029c2be471d83f824b1fdf38520903f8ace47783d13e9dd399da52 | US=3e1fffa905680acbc57bbf9388aa77bfe60c653afe6f48823247ade88bb87ce6	EU=3615948800 | US=3615948800	DATA2.NYO	05e39a1774c60ef9f4fedd3007fd51567e6d31a70a8d58d5c9c7e70547a94b84	189708988	RCDF:v100:offset=188731392:bytes=977596:rows=3703:sha256=d2690dc598872452793a4667eb693b28711b650ca47fe50b029e0215b178b417	INDEX_ONLY	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	3,703 index rows; pagefile.mpf plus VAG/MIB/MIH/audio shelf; no targeted lore metadata paths	EXACT_PACKAGE_AND_INDEX	Payload formats outside canonical language DAT extraction remain unopened
PS2-LANG-AMERICAN	PS2 canonical american language table	DATA0.NYO (exact in PS2 Europe and USA)	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF-index-sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	\data\language\american.dat	1691365376	279819	f08695cc8a06b1060e0eb18ea4d8994492693704e022c329d6266901a3e1db1f	Byte-identical to pristine PC; 2,571 IDs; same 43 mission codes/titles; 96 profile fields text-identical	EXACT_EXTRACTED_AUTHORED_DATA	Runtime language-selection reach not traced; voice/media payload equality not implied
PS2-LANG-ENGLISH	PS2 canonical english language table	DATA0.NYO (exact in PS2 Europe and USA)	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF-index-sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	\data\language\english.dat	1691084800	279933	789ecff619d077092769df281c540d138a25fcc74d70023466a604888e59371a	Byte-identical to pristine PC; 2,571 IDs; same 43 mission codes/titles; 96 profile fields text-identical	EXACT_EXTRACTED_AUTHORED_DATA	Runtime language-selection reach not traced; voice/media payload equality not implied
PS2-LANG-FRENCH	PS2 canonical french language table	DATA0.NYO (exact in PS2 Europe and USA)	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF-index-sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	\data\language\french.dat	1690783744	300067	1151d60309dea484b303eaf269553fc7b883caa7232817f0d51654415239b328	Byte-identical to pristine PC; 2,571 IDs; same 43 mission codes/titles; 96 profile fields text-identical	EXACT_EXTRACTED_AUTHORED_DATA	Runtime language-selection reach not traced; voice/media payload equality not implied
PS2-LANG-GERMAN	PS2 canonical german language table	DATA0.NYO (exact in PS2 Europe and USA)	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF-index-sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	\data\language\german.dat	1690474496	308567	69d4f148ba412e721da5a2cfe55f8cbd4cc3f6eeb940f6a2258d400355866e68	Byte-identical to pristine PC; 2,571 IDs; same 43 mission codes/titles; 96 profile fields text-identical	EXACT_EXTRACTED_AUTHORED_DATA	Runtime language-selection reach not traced; voice/media payload equality not implied
PS2-LANG-ITALIAN	PS2 canonical italian language table	DATA0.NYO (exact in PS2 Europe and USA)	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	DATA0.NYO	dc02e657cb6e405c7228c54191d2ca37419c63b4d442a22a9a52b8ef0ab34f99	1691951868	RCDF-index-sha256=25b628b06f4386f97e36bd9041a38910c8238fa1523d0c337b5e8fed51c51bb9	\data\language\italian.dat	1690171392	303027	6c3f83d1e690a34c7e38b2c6f77d1cdda46c664c4f2a584ae82540c1d7e015c7	Byte-identical to pristine PC; 2,571 IDs; same 43 mission codes/titles; 96 profile fields text-identical	EXACT_EXTRACTED_AUTHORED_DATA	Runtime language-selection reach not traced; voice/media payload equality not implied
