source_file	source_line	function	signature	retail_delta	retail_classification	retail_va_or_empty	evidence	bounded_delta	falsifier
activereader.h	17	CGenericActiveReader::~dtor	~CGenericActiveReader()	RETAIL_UNRESOLVED	SOURCE_ANALOG	0x0044b1d0	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W003/adversarial/B13.md;references/Onslaught/activereader.h:17;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Adversarial plate confirms the named generic ActiveReader destructor body and unlink shape; source-body equality is not promoted.	A body/ABI readback that refutes the named candidate, or proof of a different source owner, refutes this bounded analog.
activereader.h	19	CGenericActiveReader::ToReadDied	ToReadDied()	SOURCE_ONLY	NO_MATCH_FOUND		reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:19;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.
activereader.h	32	CActiveReader::CActiveReader	CActiveReader()	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:32;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	33	CActiveReader::CActiveReader	CActiveReader(T* to_read)	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:33;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	34	CActiveReader::CActiveReader	CActiveReader(CActiveReader<T>& copy)	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:34;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	35	CActiveReader::SetReader	SetReader(T* to_read)	SOURCE_ONLY	NO_MATCH_FOUND		reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:35;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.
activereader.h	36	CActiveReader::operator==	operator ==(T* right_term)	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:36;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	37	CActiveReader::operator!=	operator !=(T* right_term)	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:37;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	38	CActiveReader::operator=	operator =(T* right_term)	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:38;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	39	CActiveReader::operator->	* operator ->()	RETAIL_UNRESOLVED	NO_MATCH_FOUND		references/Onslaught/activereader.h:39;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.
activereader.h	40	CActiveReader::ToRead	* ToRead()	SOURCE_ONLY	NO_MATCH_FOUND		reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:40;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.
Career.h	32	CGrade::CGrade	CGrade(char g)	SOURCE_AGREES	SOURCE_EXACT	0x00420ab0	reverse-engineering/binary-analysis/functions/Career.cpp/CGrade__ctor_char.md;references/Onslaught/Career.h:32;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/career-save-format-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/career-progression-static-bridge-contract.md;reverse-engineering/source-code/gameplay/career-system.md	Function note names the exact char constructor signature, says Verified vs Source: Yes, and proves the one-byte field store.	Any pristine-body, ABI, or source-line readback mismatch at the cited VA refutes SOURCE_EXACT.
