source_file	source_line	function	signature	source_owner	target_branch	source_anchor	source_text_sha256	source_algorithm	source_fields	source_constants	source_side_effects	retail_classification	retail_va_or_empty	retail_name_candidates	retail_evidence	retail_evidence_boundary	retail_falsifier	rebuild_disposition	rebuild_owner	rebuild_evidence
activereader.h	17	CGenericActiveReader::~dtor	~CGenericActiveReader()	CGenericActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:17-17	d4049ec54dc54817990f11781fecc00bb6951be805d61874c8ce87e081788d75	Executes the pinned source body in order: if (mToRead) { mToRead->RemoveDeletionEvent(this) ; }	mToRead		mToRead->RemoveDeletionEvent	SOURCE_ANALOG	0x0044b1d0	0x0044b1d0:CGenericActiveReader__dtor	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W003/adversarial/B13.md;references/Onslaught/activereader.h:17;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Adversarial plate confirms the named generic ActiveReader destructor body and unlink shape; source-body equality is not promoted.	A body/ABI readback that refutes the named candidate, or proof of a different source owner, refutes this bounded analog.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	19	CGenericActiveReader::ToReadDied	ToReadDied()	CGenericActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:19-19	79119094eb5da07b4196ad89c934417b71877e269fd71d358daf52297bc588c9	Writes mToRead; source body: mToRead = NULL ;	mToRead	NULL	mToRead	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:19;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	32	CActiveReader::CActiveReader	CActiveReader()	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:32-32	a3d4fbbfa521fa2cd3dd8d63717460ed163cc3ef521eb1d813ca5618075c10ab	Writes mToRead; source body: mToRead = NULL ;	mToRead	NULL	mToRead	NO_MATCH_FOUND			references/Onslaught/activereader.h:32;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	33	CActiveReader::CActiveReader	CActiveReader(T* to_read)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:33-33	ce6b1747faf43d35f394732139af1849469e8242360e3c0f0c9e716e9b48fe15	Executes the pinned source body in order: mToRead = (CMonitor*)to_read ; if (mToRead) { mToRead->AddDeletionEvent(this); }	mToRead		mToRead;mToRead->AddDeletionEvent	NO_MATCH_FOUND			references/Onslaught/activereader.h:33;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	34	CActiveReader::CActiveReader	CActiveReader(CActiveReader<T>& copy)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:34-34	86494ffdd6851f063b81236972d8325d876b2b6f54e4d54d0ebbd21b5b192c39	Executes the pinned source body in order: mToRead = (CMonitor*)copy.mToRead ; if (mToRead) { mToRead->AddDeletionEvent(this); }	mToRead		mToRead;mToRead->AddDeletionEvent	NO_MATCH_FOUND			references/Onslaught/activereader.h:34;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	35	CActiveReader::SetReader	SetReader(T* to_read)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:35-35	fc696fc4d9b6f68e50c81b62685904eb7d39e791bdcb7b9f91aa81c50afce723	Executes the pinned source body in order: CGenericActiveReader::SetReader((CMonitor*)to_read);			CGenericActiveReader::SetReader	NO_MATCH_FOUND			reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;references/Onslaught/activereader.h:35;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.	A promoted same-owner body or bounded alias with compatible ABI and source semantics falsifies the current negative search.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	36	CActiveReader::operator==	operator ==(T* right_term)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:36-36	5eb821c908064d9d73fe0e98abc837c316daa8d132ba44606a1baebc4709887b	Returns mToRead == right_term.	mToRead		NONE_READ_ONLY	NO_MATCH_FOUND			references/Onslaught/activereader.h:36;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	37	CActiveReader::operator!=	operator !=(T* right_term)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:37-37	cc16bf551c307163be82ef365e6194eab4dbe8f7ac1e542d7f5856393a7f42e4	Returns mToRead != right_term.	mToRead		NONE_READ_ONLY	NO_MATCH_FOUND			references/Onslaught/activereader.h:37;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	38	CActiveReader::operator=	operator =(T* right_term)	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:38-38	285b43dd657dc9b2e6867e1b26a4c8fea20c2cf01aa225bca321141c5b234ef7	Executes the pinned source body in order: SetReader(right_term);			SetReader	NO_MATCH_FOUND			references/Onslaught/activereader.h:38;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
activereader.h	39	CActiveReader::operator->	* operator ->()	CActiveReader	ALL_TARGETS	references/Onslaught/activereader.h:39-39	2aac3221a3f621969a584cfaedf6e990e93ce2f1799123e3198c60f0e5051787	Returns (T*)mToRead.	mToRead		NONE_READ_ONLY	NO_MATCH_FOUND			references/Onslaught/activereader.h:39;reverse-engineering/source-crosswalk/audit/REPORT.md;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/EVIDENCE-REGISTER.tsv;local-lab/re-campaign-incident-recovery-20260808-v1/generation-32-current-8329-db18625-v1/campaign-functions.tsv;reverse-engineering/binary-analysis/event-manager-scheduler-semantics-2026-08-11.tsv;reverse-engineering/source-code/io/event-system.md	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.	Compiler target membership plus overload/operator identity that selects one retail body resolves and may falsify this unresolved classification.	PARTIAL_OWNER_PRESENT	rebuild/OnslaughtRebuild.Core/RetailEventScheduler.cs	RetailEventScheduler.ClearListener carries the filed-event target-death nulling law; generic monitor registration, copy, reassignment, and destructor unlink remain absent.
