source_file	source_line	function	signature	source_owner	subsystem_wave	readiness	retail_va_or_empty	current_name_candidates	authority	reason
activereader.h	17	CGenericActiveReader::~dtor	~CGenericActiveReader()	CGenericActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	NAMED_RETAIL_ANALOG_PRECISE_TARGET	0x0044b1d0	0x0044b1d0:CGenericActiveReader__dtor	reverse-engineering/binary-analysis/ghidra-fullpass-findings/W003/adversarial/B13.md	Adversarial plate confirms the named generic ActiveReader destructor body and unlink shape; source-body equality is not promoted.
activereader.h	19	CGenericActiveReader::ToReadDied	ToReadDied()	CGenericActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
activereader.h	32	CActiveReader::CActiveReader	CActiveReader()	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.
activereader.h	33	CActiveReader::CActiveReader	CActiveReader(T* to_read)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.
activereader.h	34	CActiveReader::CActiveReader	CActiveReader(CActiveReader<T>& copy)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory	Same file/function label has multiple line/signature definitions; do not collapse overloads or conditional bodies.
activereader.h	35	CActiveReader::SetReader	SetReader(T* to_read)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	SOURCE_ONLY_BOUNDED_NO_MATCH			pinned source;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted semantic tables;bounded owner aliases	Simple inline/header body has no named or promoted semantic target after direct and bounded-owner-alias search; candidate bounded NO_MATCH only, not binary absence.
activereader.h	36	CActiveReader::operator==	operator ==(T* right_term)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + pinned source signature	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.
activereader.h	37	CActiveReader::operator!=	operator !=(T* right_term)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + pinned source signature	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.
activereader.h	38	CActiveReader::operator=	operator =(T* right_term)	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + pinned source signature	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.
activereader.h	39	CActiveReader::operator->	* operator ->()	CActiveReader	W1_SAVE_SESSION_INPUT_FRONTEND	AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION			pinned AST inventory + pinned source signature	Operator punctuation/signature must remain line-distinct; alphanumeric normalization can collapse different operators.
