stable_key	stable_key_sha256	source_file	source_line	source_function	signature	resolved_owner	resolved_function	owner_resolution_evidence	reuse_disposition	extension_summary	predecessor_paths	source_target_branch	source_algorithm	source_fields	source_constants	source_side_effects	source_calls	retail_classification	retail_delta_status	retail_va_or_empty	retail_name_or_empty	retail_semantic_status_or_empty	retail_evidence	retail_evidence_boundary	retail_falsifier	closure_receipt_sources	closure_receipt_sha256	generation32_grade	generation32_contract_state	generation32_evidence	generation32_ready_sha256	current_name_candidates	original_partition_readiness	rebuild_disposition
"[""actor.h"",18,""SetThingType"",""SetThingType(ULONG t)""]"	14c040f92058b8436bf24432ce2470120dbc2a6c060006bc680986e2554c813b	actor.h	18	SetThingType	SetThingType(ULONG t)	CActor	CActor::SetThingType	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv;local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/EVIDENCE-REGISTER.tsv;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	all source targets (header include guard only)	Delegates to `SUPERTYPE::SetThingType`.		THING_TYPE_ACTOR	calls SUPERTYPE::SetThingType	SUPERTYPE::SetThingType	SOURCE_EXACT	SOURCE_AGREES	0x00401540	CActor__VFunc_38_00401540	SOURCE_INLINE	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Stores the input OR the inherited thing mask and THING_TYPE_ACTOR exactly as source	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv	44e6a1203e5924bec1585db21f9287674a6855d9586a4f737cb0a717652b63e0	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f		AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",24,""GetVelocity"",""GetVelocity()""]"	07fbdb5f96334bd5bcd469f7f293af2df1c7dd143565fba7e1b06e4383b48e30	actor.h	24	GetVelocity	GetVelocity()	CActor	CActor::GetVelocity	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mVelocity`.	mVelocity		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetVelocity`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",25,""SetVelocity"",""SetVelocity(const FVector& vel)""]"	1636847c59d19c525770fc79b872f39f7272742c1d3c8a00143a5d227613cf56	actor.h	25	SetVelocity	SetVelocity(const FVector& vel)	CActor	CActor::SetVelocity	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Updates `mVelocity` from its arguments/constants.	mVelocity		writes mVelocity		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::SetVelocity`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",26,""AddVelocity"",""AddVelocity(const FVector& vel)""]"	3743de7f636b284699a927e8682a819ea1aa83ae632739e249270e9875298d25	actor.h	26	AddVelocity	AddVelocity(const FVector& vel)	CActor	CActor::AddVelocity	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Updates `mVelocity` from its arguments/constants.	mVelocity		writes mVelocity		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::AddVelocity`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",27,""GetOldPos"",""GetOldPos()""]"	42781fc9728e0ff30154191a25ebdfd331d14a1b3bf3e9595c3efb4a01b5e593	actor.h	27	GetOldPos	GetOldPos()	CActor	CActor::GetOldPos	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mOldPos`.	mOldPos		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetOldPos`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",28,""GetOldOrientation"",""GetOldOrientation()""]"	668dc8e698378c3e48b21246b6bb4b3d36a43fc72c53ff42af5ec26929b35d72	actor.h	28	GetOldOrientation	GetOldOrientation()	CActor	CActor::GetOldOrientation	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mOldOrientation`.	mOldOrientation		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetOldOrientation`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",35,""GetLocalLastFrameMovement"",""GetLocalLastFrameMovement()""]"	78c3c061849605c55efcde5e1e56053b22d30d5ab5749c56f2ece6c5035a5826	actor.h	35	GetLocalLastFrameMovement	GetLocalLastFrameMovement()	CActor	CActor::GetLocalLastFrameMovement	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv;local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/EVIDENCE-REGISTER.tsv;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	all source targets (header include guard only)	Returns `mPos - mOldPos`.	mOldPos;mPos		none (read-only or no-op)		SOURCE_EXACT	SOURCE_AGREES	0x00401550	HYP__CActor__GetLocalLastFrameMovement	SOURCE_INLINE	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Returns current position minus old position as the source inline declares	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.	local-lab/ghidra-playercontrol65-static-20260809-v1/contracts.tsv	3e9031b3fe71928c866e986cc7625603d5d91dbcd75df9a1a324f0eb4f4b796c	C1_CANDIDATE_PARTIAL	OPEN_EXECUTED	BASELINE_STATIC;ANALYST_METADATA_ONLY;RUNTIME_BOUNDED;CAMPAIGN_C1_STATIC_RECEIPT	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f		AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",40,""Stop"",""Stop()""]"	418c892bf2ae386bc8072ce143a6addf96ba0c267820b403fc22312d330f7ae8	actor.h	40	Stop	Stop()	CActor	CActor::Stop	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv;local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/EVIDENCE-REGISTER.tsv;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	all source targets (header include guard only)	Updates `mVelocity` from its arguments/constants.	mVelocity	0	writes mVelocity; calls FVector	FVector	SOURCE_EXACT	SOURCE_AGREES	0x00401580	CActor__VFunc_64_00401580	SOURCE_INLINE	reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv	Zeros the velocity FVector; the fourth copied dword is structure padding rather than another semantic component	Contradictory pristine-byte or independently reviewed semantic evidence showing this VA does not implement this exact source line/signature.	local-lab/ghidra-rtti-slot-residual-167-static-20260810-v1/contracts.tsv	44e6a1203e5924bec1585db21f9287674a6855d9586a4f737cb0a717652b63e0	C1_CANDIDATE_PARTIAL	OPEN_DARK	BASELINE_STATIC;ANALYST_METADATA_ONLY;CAMPAIGN_C1_STATIC_RECEIPT	08ed89644ed25feb9e85fefb5b31ab2bdecbbd91b8aca720e20c53a7fbc5e73f		AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",53,""GetLastTimeOnGround"",""GetLastTimeOnGround()""]"	e5278c2d39861285e70d811e51f1ec60828d378dc0dc543c57892da43762ed6e	actor.h	53	GetLastTimeOnGround	GetLastTimeOnGround()	CActor	CActor::GetLastTimeOnGround	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mLastTimeOnGround`.	mLastTimeOnGround		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetLastTimeOnGround`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
"[""actor.h"",54,""GetLastTimeInWater"",""GetLastTimeInWater()""]"	938d20d4d2bf504f8d6ef7c580a38256660687a8e6866d0cbdd445e10029409d	actor.h	54	GetLastTimeInWater	GetLastTimeInWater()	CActor	CActor::GetLastTimeInWater	actor.h:13 DECLARE_THING_CLASS(CActor, CComplexThing), closed at line 65	EXTENDED	Recovered the lexical class owner from the pinned macro class declaration, then reran qualified-name and promoted-semantic joins.	local-lab/hermes-kanban-campaign-2026-08-22/source-first-expansion/partition.tsv;references/Onslaught/actor.h;reverse-engineering/binary-analysis/cactor-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cbattleengine-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/ccomplexthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/cthing-vtable-semantics-2026-08-11.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv	all source targets (header include guard only)	Returns `mLastTimeInWater`.	mLastTimeInWater		none (read-only or no-op)		NO_MATCH_FOUND	SOURCE_ONLY				reverse-engineering/binary-analysis/ghidra-function-name-table-2026-08-17.tsv;reverse-engineering/binary-analysis/function-c1-closure-2026-08-11.tsv;promoted CThing/CActor/CBattleEngine/CComplexThing semantic tables;resolved lexical owner	No supported target after repaired-owner direct-name search and promoted-semantic search; bounded negative only, not binary absence or proof of inlining/folding.	A named semantic/body/xref authority locating a compiler-emitted or folded retail implementation of `CActor::GetLastTimeInWater`.								AMBIGUOUS_OVERLOAD_MACRO_NONFUNCTION	PARTIAL: Level100ActorRegistry/Level100ActorMechanics carry bounded Level-100 actor state, but no generic CThing/CComplexThing/CActor source-class port owns this exact row.
