# One explicit physical ABI, nonrepeatable comment and tags; names, locals, types, bytes and other functions remain frozen.
cohortId	math-error-custom-abi
cohortTitle	Correct shared unary math-error physical ABI without a hidden pointer
programName	BEA.exe
programMd5	3b456964020070efe696d2cc09464a55
programSha256	74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750
imageBase	00400000
language	x86:LE:32:default
compilerSpec	windows
verb	SET_PROTOTYPE
verb	SET_COMMENT
verb	SET_TAGS
preFunctions	8330
postFunctions	8330
preInstructions	551232
postInstructions	551232
preReferences	234558
postReferences	234558
preDefinedData	48648
postDefinedData	48648
preUndefinedData	3907369
postUndefinedData	3907369
preBookmarks	2300
postBookmarks	2300
preFunctionNameDigest	48203aaa6f9e3c21507d9c348e1048acd7d56fc67e450a6beba9a70f033531a0
postFunctionNameDigest	48203aaa6f9e3c21507d9c348e1048acd7d56fc67e450a6beba9a70f033531a0
preFunctionBodyDigest	0918a924668f6dced88681160bebe1b47135d717fc4de844e452043f823f8cd9
postFunctionBodyDigest	0918a924668f6dced88681160bebe1b47135d717fc4de844e452043f823f8cd9
preFrozenDigest	d508f66e1092534ec6ac12b78328463aed1d166c970299882e6f1b29bdb57092
protectedAbiStateSha256	32f4a58301e713e192f1b0578c624c782bf5b72838ec8ba6c55a7ca4055d26c3
manifestSha256	3a2fbc408f4e59fcd379d367805ce55db5d1e12b8af835d51535ef6800d24014
manifestBytes	4203
manifestRows	1
manifestColumns	24
manifestHeaderPipe	addr|liveName|currentSignature|currentSignatureSha256|proposedSignature|currentCallingConvention|callingConvention|returnType|paramSpec|arity|arityBytes|currentCustomStorage|customStorage|returnStorage|currentAbiSha256|proposedAbiSha256|currentCommentBase64|proposedCommentBase64|currentTags|proposedTags|bodyStart|bodyEndExclusive|bodySha256|evidence
expectedTargetsChanged	1
expectedFunctionsUntouched	8329
col.addr	addr
col.liveName	liveName
col.currentSignature	currentSignature
col.currentSignatureSha256	currentSignatureSha256
col.proposedSignature	proposedSignature
col.currentCallingConvention	currentCallingConvention
col.callingConvention	callingConvention
col.returnType	returnType
col.paramSpec	paramSpec
col.arity	arity
col.arityBytes	arityBytes
col.currentCustomStorage	currentCustomStorage
col.customStorage	customStorage
col.returnStorage	returnStorage
col.currentAbiSha256	currentAbiSha256
col.proposedAbiSha256	proposedAbiSha256
col.currentCommentBase64	currentCommentBase64
col.proposedCommentBase64	proposedCommentBase64
col.currentTags	currentTags
col.proposedTags	proposedTags
unique	addr
constant	currentCallingConvention=__fastcall
constant	callingConvention=unknown
constant	returnType=float10
constant	currentCustomStorage=false
constant	customStorage=true
applierSha256	4fde6a231dc9d0eeb0a4e3272e673be2662ff271c4a0a5a2055c807413d41b47
postFrozenDigest	cce0d30ae886aa48278c847fc0f03e6c7e56a72294f9f2321731819ad36502ec
applierSha256	483214d6e83a4ae3cb9ed27a0e998bc21c467f456dedef37811748e509c37677
