addr	provenance	liveKind	currentNameLive	proposedName	tier	anchorKind	anchorEvidence	reason
0x004599a0	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__Init	CFEPE3LevelSelect__Init	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	strict RTTI census (tools/re_rtti_vtables.py) on specimen 74154bfa…7750: only vtable 0x005db4fc slot 0 class CFEPE3LevelSelect; 0 other owners	Live prefix CFEPMultiplayerStart__SubObj8848 is refuted; the only table is CFEPE3LevelSelect. Method suffix Init is the established FE-page slot-0 name (CFEPMain__Init, CFEPBriefing__Init).
0x00459a60	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__ActiveNotification	CFEPE3LevelSelect__ActiveNotification	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 7 class CFEPE3LevelSelect	Same unique-owner refutation; slot 7 carries the live ActiveNotification suffix.
0x00459aa0	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__TransitionNotification	CFEPE3LevelSelect__TransitionNotification	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 6 class CFEPE3LevelSelect	Same unique-owner refutation; slot 6 carries the live TransitionNotification suffix.
0x00459b00	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__Process	CFEPE3LevelSelect__Process	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 2 class CFEPE3LevelSelect	Same unique-owner refutation; slot 2 carries the live Process suffix.
0x00459c10	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__ButtonPressed	CFEPE3LevelSelect__ButtonPressed	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 3 class CFEPE3LevelSelect	Same unique-owner refutation; slot 3 carries the live ButtonPressed suffix.
0x00459e50	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__RenderPreCommon	CFEPE3LevelSelect__RenderPreCommon	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 4 class CFEPE3LevelSelect	Same unique-owner refutation; slot 4 carries the live RenderPreCommon suffix.
0x00459ee0	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj8848__Render	CFEPE3LevelSelect__Render	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005db4fc slot 5 class CFEPE3LevelSelect	Same unique-owner refutation; slot 5 carries the live Render suffix.
0x0051b640	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj4034_T3_0051b640	CFEPIntro__VFunc_0_0051b640	TIER2_VTABLE_SLOT	VTABLE_UNIQUE_OWNER	only vtable 0x005e49b4 slot 0 class CFEPIntro	Live T3 still carries the false CFEPMultiplayerStart__SubObj4034 prefix. Slot-shaped name matches existing CFEPIntro__VFunc_5_0051b840; no method suffix is invented.
0x0051b660	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj4034_T3_0051b660	CFEPIntro__VFunc_3_0051b660	TIER2_VTABLE_SLOT	VTABLE_UNIQUE_OWNER	only vtable 0x005e49b4 slot 3 class CFEPIntro	Same unique-owner T3 cleanup; slot 3.
0x0051b6b0	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj4034__Process	CFEPIntro__Process	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005e49b4 slot 2 class CFEPIntro	False MultiplayerStart/SubObj4034 prefix; only owner is CFEPIntro. Process suffix kept (CFEPBriefing__Process, CFEPMain__Process).
0x0051be70	PROMOTE	FUNCTION	CFEPMultiplayerStart__SubObj4034__InitRuntimeState	CFEPIntro__InitRuntimeState	TIER1_CLASS_RTTI	VTABLE_UNIQUE_OWNER	only vtable 0x005e49b4 slot 6 class CFEPIntro	Same unique-owner refutation; live InitRuntimeState suffix kept.
0x004dfa40	SLOTFIX	FUNCTION	CUnit__VFunc08_InitAndAddToWorld	CSimpleBuilding__VFunc_9_004dfa40	TIER2_VTABLE_SLOT	VTABLE_UNIQUE_OWNER	only vtable 0x005dfd3c slot 9 class CSimpleBuilding; name-cohort160 GO deferred this row because the CUnit prefix is measured-false	Owner and encoded slot are both wrong (CUnit / VFunc08). Slot-shaped name matches name-cohort5 CExplosionStatement__VFunc_3_0043a860; InitAndAddToWorld is not carried.
